filter_dim,filter_value,30d_n,30d_wr,30d_pf,60d_n,60d_wr,60d_pf,90d_n,90d_wr,90d_pf,180d_n,180d_wr,180d_pf,stable_edge
baseline,all,34,47.06,0.37,70,54.29,0.82,70,54.29,0.82,70,54.29,0.82,False
confidence_band,conf_lt_50,0,0,0,0,0,0,0,0,0,0,0,0,False
confidence_band,conf_50_60,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,False
confidence_band,conf_60_70,28,50.00,0.89,55,56.36,0.87,55,56.36,0.87,55,56.36,0.87,False
confidence_band,conf_70_80,0,0,0,3,100.00,999.0,3,100.00,999.0,3,100.00,999.0,False
confidence_band,conf_80_90,1,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,False
confidence_band,conf_gte_90,4,50.00,0.36,9,44.44,0.39,9,44.44,0.39,9,44.44,0.39,False
elite_score,elite_lt_30,1,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,False
elite_score,elite_30_50,2,0.0,0.0,20,65.00,1.59,20,65.00,1.59,20,65.00,1.59,False
elite_score,elite_50_70,27,51.85,0.98,36,52.78,0.63,36,52.78,0.63,36,52.78,0.63,False
elite_score,elite_gte_70,0,0,0,2,100.00,999.0,2,100.00,999.0,2,100.00,999.0,False
trust_score,trust_lt_5,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_5,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_6,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_7,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_8plus,0,0,0,0,0,0,0,0,0,0,0,0,False
direction,LONG,33,48.48,0.37,69,55.07,0.83,69,55.07,0.83,69,55.07,0.83,False
direction,SHORT,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,False
hour_of_day_utc,h00,0,0,0,3,100.00,999.0,3,100.00,999.0,3,100.00,999.0,False
hour_of_day_utc,h04,1,100.00,999.0,3,66.67,0.63,3,66.67,0.63,3,66.67,0.63,False
hour_of_day_utc,h08,3,33.33,0.06,3,33.33,0.06,3,33.33,0.06,3,33.33,0.06,False
hour_of_day_utc,h12,0,0,0,1,100.00,999.0,1,100.00,999.0,1,100.00,999.0,False
hour_of_day_utc,h14,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,False
hour_of_day_utc,h16,1,100.00,999.0,3,100.00,999.0,3,100.00,999.0,3,100.00,999.0,False
hour_of_day_utc,h18,1,100.00,999.0,4,50.00,0.52,4,50.00,0.52,4,50.00,0.52,False
hour_of_day_utc,h20,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,False
hour_of_day_utc,h22,2,0.0,0.0,4,25.00,0.6,4,25.00,0.6,4,25.00,0.6,False
hold_bucket,h_lt_2,0,0,0,0,0,0,0,0,0,0,0,0,False
hold_bucket,h_2_8,0,0,0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,False
hold_bucket,h_8_24,0,0,0,0,0,0,0,0,0,0,0,0,False
hold_bucket,h_24_72,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,False
hold_bucket,h_72plus,6,50.00,0.36,11,45.45,0.39,11,45.45,0.39,11,45.45,0.39,False
