filter_dim,filter_value,30d_n,30d_wr,30d_pf,60d_n,60d_wr,60d_pf,90d_n,90d_wr,90d_pf,180d_n,180d_wr,180d_pf,stable_edge
baseline,all,1,100.00,999.0,18,11.11,0.16,18,11.11,0.16,18,11.11,0.16,False
confidence_band,conf_lt_50,1,100.00,999.0,1,100.00,999.0,1,100.00,999.0,1,100.00,999.0,False
confidence_band,conf_50_60,0,0,0,0,0,0,0,0,0,0,0,0,False
confidence_band,conf_60_70,0,0,0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,False
confidence_band,conf_70_80,0,0,0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,False
confidence_band,conf_80_90,0,0,0,2,50.00,1.83,2,50.00,1.83,2,50.00,1.83,False
confidence_band,conf_gte_90,0,0,0,8,0.0,0.0,8,0.0,0.0,8,0.0,0.0,False
elite_score,elite_lt_30,0,0,0,0,0,0,0,0,0,0,0,0,False
elite_score,elite_30_50,1,100.00,999.0,1,100.00,999.0,1,100.00,999.0,1,100.00,999.0,False
elite_score,elite_50_70,0,0,0,0,0,0,0,0,0,0,0,0,False
elite_score,elite_gte_70,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_lt_5,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_5,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_6,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_7,0,0,0,0,0,0,0,0,0,0,0,0,False
trust_score,trust_8plus,0,0,0,0,0,0,0,0,0,0,0,0,False
direction,LONG,1,100.00,999.0,16,12.50,0.17,16,12.50,0.17,16,12.50,0.17,False
direction,SHORT,0,0,0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,False
hour_of_day_utc,h00,0,0,0,0,0,0,0,0,0,0,0,0,False
hour_of_day_utc,h04,0,0,0,7,0.0,0.0,7,0.0,0.0,7,0.0,0.0,False
hour_of_day_utc,h08,0,0,0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,False
hour_of_day_utc,h12,0,0,0,0,0,0,0,0,0,0,0,0,False
hour_of_day_utc,h14,0,0,0,0,0,0,0,0,0,0,0,0,False
hour_of_day_utc,h16,1,100.00,999.0,1,100.00,999.0,1,100.00,999.0,1,100.00,999.0,False
hour_of_day_utc,h18,0,0,0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,False
hour_of_day_utc,h20,0,0,0,0,0,0,0,0,0,0,0,0,False
hour_of_day_utc,h22,0,0,0,0,0,0,0,0,0,0,0,0,False
hold_bucket,h_lt_2,0,0,0,0,0,0,0,0,0,0,0,0,False
hold_bucket,h_2_8,0,0,0,4,0.0,0.0,4,0.0,0.0,4,0.0,0.0,False
hold_bucket,h_8_24,0,0,0,11,9.09,0.91,11,9.09,0.91,11,9.09,0.91,False
hold_bucket,h_24_72,1,100.00,999.0,2,50.00,3.16,2,50.00,3.16,2,50.00,3.16,False
hold_bucket,h_72plus,0,0,0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,False
